chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,face_shape
61.23,49.14,62.97,-2.4224,2.5826,-1.004,0.801,2.215,-0.4833,1.7742,-0.8575,-1.0706,Heart_face_shape
63.9,49.44,68.67,-2.3093,3.8815,-0.6701,0.6238,2.9796,-0.3089,1.8586,-0.5742,-0.9206,Heart_face_shape
75.79,63.76,78.33,-1.8402,3.6255,-0.7814,0.6493,2.4965,-0.3865,1.6209,-0.6265,-0.9649,Heart_face_shape
67.71,55.95,75.36,-2.2554,3.1854,-0.8551,0.6071,2.0979,-0.5833,1.2737,-0.743,-1.2238,Heart_face_shape
73.34,61.46,72.58,-2.9645,3.0616,-0.9191,0.6628,2.2312,-0.4591,1.4789,-0.6789,-1.0242,Heart_face_shape
65.35,52.5,70.95,-2.7201,3.2432,-0.7654,0.7431,2.2846,-0.4052,1.6978,-0.6879,-0.9256,Heart_face_shape
64.49,51.07,70.06,-2.6433,2.9217,-0.8658,0.7707,2.6667,-0.3543,2.0552,-0.7282,-0.9449,Heart_face_shape
77.15,63.59,72.8,-2.1465,2.9277,-1.06,0.7422,2.2744,-0.4365,1.6879,-0.7368,-0.9928,Heart_face_shape
70.93,59.5,74.26,-2.3342,3.0698,-0.9086,0.7324,2.2957,-0.4167,1.6815,-0.7007,-0.9567,Heart_face_shape
59.44,46.92,57.3,-2.8088,3.2645,-0.7947,0.6524,2.8205,-0.3461,1.8402,-0.6368,-0.9761,Heart_face_shape
67.17,54.51,73.02,-1.4275,4.9392,-0.603,0.5425,2.8005,-0.3124,1.5192,-0.4746,-0.8749,Heart_face_shape
76.28,62.0,69.25,-2.2143,3.1817,-0.9019,0.6891,2.3158,-0.4253,1.5958,-0.6788,-0.985,Heart_face_shape
59.97,46.4,75.35,-1.8778,4.4556,-0.5915,0.6251,2.5991,-0.3368,1.6247,-0.5472,-0.8753,Heart_face_shape
69.25,56.03,71.91,-3.0905,2.867,-0.8526,0.7005,2.4431,-0.4445,1.7115,-0.7607,-1.0859,Heart_face_shape
67.29,53.95,64.12,-2.5383,3.0135,-0.8383,0.794,2.7542,-0.3088,2.1868,-0.6752,-0.8504,Heart_face_shape
65.0,49.45,70.13,-1.4382,4.8165,-0.5751,0.6123,3.3995,-0.2518,2.0815,-0.524,-0.8559,Oblong_face_shape
77.04,62.06,69.53,-1.4959,4.4555,-0.7058,0.6694,3.5133,-0.2168,2.3517,-0.5099,-0.7617,Oblong_face_shape
70.54,56.01,68.76,-1.3001,5.4071,-0.5739,0.5405,3.104,-0.2683,1.6779,-0.4502,-0.8328,Oblong_face_shape
70.26,56.93,71.94,-2.376,3.3271,-0.7965,0.7419,2.7009,-0.3243,2.0037,-0.6497,-0.8758,Oblong_face_shape
59.35,46.41,67.52,-1.6453,4.3236,-0.622,0.7249,3.5964,-0.2043,2.607,-0.5325,-0.7346,Oblong_face_shape
63.98,50.1,72.69,-1.5224,4.3529,-0.6596,0.5971,2.3282,-0.4243,1.3902,-0.5898,-0.9878,Oblong_face_shape
56.46,42.39,66.21,-2.264,3.7032,-0.6791,0.8292,4.4739,-0.1598,3.7097,-0.5928,-0.7149,Oblong_face_shape
64.04,50.4,76.34,-1.6378,4.3794,-0.6435,0.6862,3.2012,-0.2459,2.1967,-0.5402,-0.7873,Oblong_face_shape
69.52,54.77,80.2,-0.9913,6.4523,-0.472,0.5203,3.146,-0.2509,1.6367,-0.4106,-0.7892,Oblong_face_shape
50.88,36.41,55.62,-2.4916,4.2001,-0.5945,0.6974,5.5014,-0.1318,3.8367,-0.5056,-0.7249,Oblong_face_shape
80.23,66.87,67.81,-1.5963,4.4737,-0.7655,0.521,2.515,-0.3881,1.3104,-0.5085,-0.976,Oblong_face_shape
69.42,54.98,76.85,-1.4756,5.1501,-0.5404,0.6051,3.4962,-0.2279,2.1155,-0.4821,-0.7967,Oblong_face_shape
69.44,54.98,67.32,-1.2463,5.1584,-0.6039,0.5311,3.0873,-0.2937,1.6397,-0.4815,-0.9066,Oblong_face_shape
73.33,58.21,75.9,-1.4934,4.7146,-0.6173,0.6165,3.1155,-0.2688,1.9206,-0.5162,-0.8373,Oblong_face_shape
57.64,39.64,73.95,-2.2392,3.2898,-0.747,0.6648,2.0587,-0.6133,1.3687,-0.8395,-1.2627,Oblong_face_shape
71.15,58.13,67.59,-1.0544,5.8965,-0.5397,0.4889,3.4776,-0.2394,1.7001,-0.4069,-0.8324,Oblong_face_shape
67.83,53.89,66.15,-1.0986,5.425,-0.6348,0.6251,4.6336,-0.1522,2.8964,-0.441,-0.7055,Oblong_face_shape
65.34,49.73,76.01,-1.2003,5.933,-0.4761,0.446,3.1831,-0.3237,1.4195,-0.4595,-1.0303,Oblong_face_shape
64.23,49.69,75.76,-1.8626,3.3368,-0.8671,0.6522,1.9349,-0.6576,1.262,-0.8299,-1.2724,Oblong_face_shape
61.47,46.66,70.87,-2.4199,3.8476,-0.6889,0.7026,2.6173,-0.3425,1.839,-0.6298,-0.8963,Oblong_face_shape
72.5,59.66,77.03,-1.1156,4.8515,-0.7042,0.4347,2.0828,-0.6078,0.9054,-0.5503,-1.266,Oblong_face_shape
65.24,50.85,63.79,-1.8248,3.7156,-0.7956,0.8377,3.379,-0.208,2.8305,-0.5887,-0.7028,Oblong_face_shape
