chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,face_shape
69.09,53.82,71.3,-2.1129,4.1399,-0.6241,0.9409,8.221,-0.0664,Oblong_face_shape
74.52,60.19,72.94,-1.3877,4.7562,-0.6895,0.667,3.7411,-0.1954,Oblong_face_shape
71.29,58.32,72.38,-1.146,5.6388,-0.5585,0.4681,2.7604,-0.3461,Oblong_face_shape
65.57,51.99,60.98,-1.8948,3.3082,-0.93,0.6967,2.3674,-0.4275,Oblong_face_shape
59.86,43.99,54.77,-2.2997,3.6733,-0.7205,0.6571,5.4216,-0.1554,Oblong_face_shape
70.56,53.13,67.49,-1.3238,5.1177,-0.578,0.6073,3.7002,-0.2175,Oblong_face_shape
56.94,42.96,60.13,-1.5742,4.0977,-0.7135,0.6405,3.1949,-0.2859,Oblong_face_shape
65.61,49.27,63.91,-2.9122,3.5616,-0.6826,0.9693,10.8337,-0.0548,Oblong_face_shape
77.21,64.15,75.7,-1.3244,4.2108,-0.8471,0.4856,2.0349,-0.6505,Oblong_face_shape
70.6,58.11,75.86,-1.3556,4.6599,-0.662,0.6336,3.1354,-0.2497,Oblong_face_shape
75.21,59.92,70.31,-1.5846,4.2455,-0.7316,0.8608,5.8501,-0.1063,Oblong_face_shape
70.57,56.86,65.63,-1.613,4.3922,-0.6681,0.6658,3.4139,-0.2257,Oblong_face_shape
61.75,48.82,56.01,-2.1703,2.9274,-0.9806,0.7094,2.7987,-0.3685,Oblong_face_shape
62.45,48.81,60.59,-1.7553,3.4128,-0.8786,0.7829,3.1019,-0.2758,Oblong_face_shape
68.07,53.45,80.18,-1.9188,3.4736,-0.797,0.6194,1.9285,-0.6447,Oblong_face_shape
66.61,53.51,61.09,-1.9662,4.2334,-0.6949,0.6565,3.466,-0.236,Oblong_face_shape
65.54,51.24,70.6,-1.4946,4.5274,-0.6295,0.667,3.3615,-0.2338,Oblong_face_shape
49.4,35.01,68.69,-1.7165,3.984,-0.6454,0.5921,2.7626,-0.3778,Oblong_face_shape
74.75,60.28,75.36,-0.9918,6.6008,-0.4915,0.4772,3.0749,-0.2555,Oblong_face_shape
70.09,56.76,69.48,-1.8661,3.3127,-0.8834,0.742,2.2727,-0.4225,Oblong_face_shape
61.46,48.44,63.99,-2.077,3.2124,-0.8474,0.7499,2.7284,-0.3363,Oblong_face_shape
70.77,56.02,77.48,-0.8996,6.2428,-0.5327,0.474,2.37,-0.4002,Oblong_face_shape
66.6,53.83,73.2,-0.0833,60.1452,-0.0726,0.0662,40.3534,-0.0171,Oblong_face_shape
